Ginicial1,Gfinal1,Gmax1,Gmin1,Polo1,Ganancia1,Ginicial2,Gfinal2,Gmax2,Gmin2,Polo2,Ganancia2,Ginicial3,Gfinal3,Gmax3,Gmin3,Polo3,Ganancia3,Ginicial4,Gfinal4,Gmax4,Gmin4,Polo4,Ganancia4,Ginicial5,Gfinal5,Gmax5,Gmin5,Polo5,Ganancia5,Ginicial6,Gfinal6,Gmax6,Gmin6,Polo6,Ganancia6,Ginicial7,Gfinal7,Gmax7,Gmin7,Polo7,Ganancia7,Ginicial8,Gfinal8,Gmax8,Gmin8,Polo8,Ganancia8,Ginicial9,Gfinal9,Gmax9,Gmin9,Polo9,Ganancia9,Ginicial10,Gfinal10,Gmax10,Gmin10,Polo10,Ganancia10,Ginicial11,Gfinal11,Gmax11,Gmin11,Polo11,Ganancia11,Ginicial12,Gfinal12,Gmax12,Gmin12,Polo12,Ganancia12,Ginicial13,Gfinal13,Gmax13,Gmin13,Polo13,Ganancia13,Ginicial14,Gfinal14,Gmax14,Gmin14,Polo14,Ganancia14,Ginicial15,Gfinal15,Gmax15,Gmin15,Polo15,Ganancia15,Ginicial16,Gfinal16,Gmax16,Gmin16,Polo16,Ganancia16,Target
25.58644,63.37518,40.27626,32.8375,22.31118,42.97232,41.90648,39.84822,48.75636,24.347,102.3869,64.17698,27.90292,83.04076,90.31228,22.87862,24.15658,48.3899,36.36894,28.65564,19.54386,37.96956,39.92854,38.83634,49.73042,24.04328,90.23538,62.52546,26.89324,82.77564,93.86352,22.70026,25.586,65.433,40.443,32.578,22.176,43.403,42.379,40.012,50.592,24.624,104.095,65.572,27.372,85.701,104.095,23.301,23.464,46.11,36.178,28.424,19.341,37.739,39.469,36.811,48.598,23.907,83.73,61.86,26.474,82.252,91.891,22.508,-0.9361461,-1.005255,-0.9985799,-0.99719,-0.9982754,-0.994211,-0.9862557,-0.9375917,-0.9590228,-0.9953109,-1.00198,-0.9735911,-0.8687839,-0.9321038,-0.9787081,-0.9721163,-0.06673196,-0.03551815,-0.01684911,-0.02132426,-0.01225581,-0.03583299,-0.0227249,-0.03982612,0.04687454,-0.001726594,-0.04022341,-0.01929515,-0.1194307,0.04648899,0.1706002,0.0003040529,Cedro
25.67058,62.95142,40.74722,33.20224,22.38108,43.5064,42.41658,40.29002,48.0746,24.33484,103.981,64.4897,27.70056,83.56336,88.30614,22.82138,25.90474,58.27082,39.04762,31.26538,21.9515,40.5696,41.3272,39.9785,50.49366,24.43334,108.4856,64.64722,28.35816,85.1074,101.8427,23.06912,26.377,64.069,40.945,33.07,22.379,43.613,42.852,40.693,50.952,24.8,109.417,66.134,28.788,87.757,107.701,23.355,25.494,56.819,37.906,31.124,21.777,40.319,41.072,39.231,48.017,24.362,102.837,63.143,27.101,82.88,89.902,22.716,-0.9494742,-1.004472,-1.000339,-0.9925156,-0.9626339,-0.9943065,-0.9634895,-0.8503209,-0.9613759,-0.9730745,-0.9816283,-0.9317853,-0.960745,-0.7467396,-0.961515,-0.920605,0.01431327,-0.01778701,-0.009223238,-0.01460902,-0.0117443,-0.0186289,-0.02404206,-0.004488569,0.08888851,0.008434744,0.07928547,0.02214187,0.007163269,0.4458042,0.5656568,0.02858267,Cedro
26.46858,64.57876,40.85816,33.25074,22.44512,43.6089,42.5205,40.2149,47.53938,24.27116,105.7922,65.1671,27.5548,84.40488,88.64482,22.74372,20.00162,23.37118,30.43504,24.06478,18.18934,30.57136,34.22264,34.80876,38.41398,20.74158,30.77054,56.4815,14.1979,71.20466,47.92202,19.22264,26.801,65.294,40.882,33.07,22.303,43.824,42.784,40.506,49.191,24.595,105.056,66.418,27.27,86.604,93.174,23.112,19.215,21.752,30.157,23.964,18.055,30,33.574,34.281,35.765,20.251,30.078,54.504,13.731,69.689,45.277,18.845,-1.004101,-0.9995342,-0.9989169,-0.9968921,-0.995099,-0.9947719,-1.000971,-1.000722,-1.008206,-1.002986,-0.997025,-0.9929915,-1.000693,-1.000933,-1.001922,-1.004822,-0.01416479,-0.1539099,-0.04189592,-0.04814256,-0.02872472,-0.08864724,-0.02717699,-0.01913963,-0.02046595,-0.01036203,-0.3881792,-0.06707959,-0.04032616,-0.04287019,-0.1191909,-0.008527347,Cedro
26.06324,58.20598,40.67122,32.9377,22.26512,43.48004,42.17994,39.87276,46.51104,24.06306,103.4032,64.96076,26.47798,83.51198,81.26608,22.44074,24.55886,50.9467,37.1628,29.70838,20.59412,38.68702,40.15878,38.94492,48.35052,23.9661,99.12708,63.45286,26.23664,82.69408,93.12,22.43536,26.025,62.624,40.506,32.622,22.05,43.613,42.513,40.196,49.448,24.536,106.034,65.852,26.637,85.701,101.003,22.821,24.219,49.362,37.026,29.537,20.273,38.416,38.359,38.302,46.653,23.795,90.147,62.624,25.804,72.084,85.478,22.328,-0.9968583,-1.003634,-0.9974495,-0.9972593,-0.994974,-0.9949677,-0.9939423,-0.8879992,-0.9647722,-0.9956365,-0.997274,-0.9800337,-0.9228251,-0.9906738,-0.9695622,-0.8951591,-0.008272258,-0.02462231,-0.01561139,-0.01520511,-0.01093908,-0.03199067,-0.02065725,-0.05118634,0.07690562,-0.0003076956,-0.02503819,-0.02579359,-0.01959622,-0.03496281,0.496357,0.01595768,Cedro
24.66976,64.2688,40.31594,32.4636,21.6313,42.9359,41.56654,39.57926,46.42856,23.97714,102.1765,64.82998,26.51794,83.0374,83.45832,22.23098,22.3609,41.62588,34.36134,26.7613,19.10934,36.2999,37.86316,37.5305,40.1766,22.69726,50.42304,62.08164,22.35046,78.64892,76.41646,21.74452,25.038,65.018,40.443,32.446,21.727,43.473,42.046,39.89,48.935,24.478,105.706,66.561,26.968,85.701,97.507,22.742,21.777,38.82,34.043,26.604,18.947,35.971,34.716,37.026,38.416,22.252,48.514,60.621,21.678,77.521,71.594,21.435,-1.007989,-1.004099,-1.000742,-0.9980321,-0.9970521,-0.9965364,-1.016947,-0.9748407,-1.00783,-1.006665,-1.000738,-0.9788984,-1.005428,-0.9970946,-1.005916,-1.00767,-0.005900909,-0.04555387,-0.01959099,-0.02538495,-0.01220428,-0.03727413,-0.003046817,-0.02225569,-0.02318706,-0.005490293,-0.1601114,-0.04323372,-0.00794023,-0.02049609,-0.06325931,-0.004756476,Cedro
24.75032,62.44514,40.41134,32.70122,22.17188,43.11232,41.77892,39.70378,45.91668,23.80232,103.4448,65.21178,26.81908,82.3614,80.95238,22.21214,23.53164,53.85622,38.5712,31.20502,21.75508,40.66334,39.73992,36.9891,46.84738,23.80782,90.10176,64.23318,27.5542,83.12266,98.44388,22.60556,24.86,63.935,40.381,32.49,22.075,43.403,42.046,40.506,48.935,24.449,107.029,66.276,27.996,89.659,106.364,22.821,22.742,53.21,38.416,30.96,21.629,40.319,38.82,36.23,45.054,23.546,88.699,61.86,26.248,81.633,83.73,22.303,-1.011805,-1.000289,-0.9947805,-0.9915558,-0.9001395,-0.9901275,-0.9963633,-0.9922221,-0.9964804,-0.9980078,-1.000394,-0.8961274,-0.986646,-0.8515409,-0.950069,-0.9032061,-0.001460168,-0.03078241,-0.01106513,-0.01258225,-0.03913769,-0.02363796,-0.01288807,-0.02123938,0.003830567,-8.241178e-05,-0.03716465,-0.02828517,0.006996149,0.241747,0.9556678,0.04221537,Cedro
25.60432,63.57978,40.53556,32.6982,21.92802,43.13476,41.87356,39.52538,45.79498,23.66394,103.906,65.73766,26.8985,82.6791,78.27462,22.0721,23.0077,39.58116,32.30522,24.83188,17.14472,32.57138,37.60372,36.8157,44.6014,21.99528,73.5193,58.10274,19.50944,76.47884,66.34492,20.5238,25.867,64.608,40.506,32.358,21.801,43.264,41.98,39.951,48.099,23.992,106.695,66.848,26.934,85.256,92.145,22.482,22.379,33.07,31.668,24.276,16.719,31.668,36.972,35.714,43.126,21.678,54.81,55.852,18.927,69.534,58.725,20.318,-1.008308,-1.009452,-1.0022,-1.000497,-0.9991598,-0.9983524,-1.002206,-0.9997078,-1.011919,-1.00581,-1.000144,-0.9949407,-0.9997254,-0.9944512,-0.9978944,-1.00362,-0.003541293,-0.0379504,-0.02146077,-0.02504142,-0.01893469,-0.04024665,-0.01171168,-0.01215616,-0.01978031,-0.003761114,-0.1072741,-0.05426636,-0.02439153,-0.06113516,-0.06065275,-0.004435257,Cedro
26.04704,67.82388,40.47744,32.57908,21.82994,43.01476,42.21728,39.59154,47.04444,23.49134,107.1431,66.03262,27.5346,82.56082,81.67668,22.50446,24.2861,52.44114,36.14704,27.8959,19.71558,36.15416,39.15266,38.31882,47.14186,22.84664,62.85784,62.31008,23.44154,80.32646,88.80552,21.95868,26.088,69.226,40.443,32.358,21.678,43.264,42.112,39.769,49.105,23.795,111.543,67.283,27.406,87.524,99.812,22.926,23.964,50.147,35.971,27.786,19.553,34.716,38.302,37.906,46.731,22.742,58.381,61.608,22.926,78.276,78.276,21.703,-1.00312,-1.005721,-1.00083,-0.9991319,-0.9963222,-0.9987966,-0.9957826,-0.8819841,-0.9848231,-1.002123,-0.9996183,-0.9728058,-1.000127,-0.9623224,-0.992732,-0.99438,-0.004137251,-0.03321994,-0.01205666,-0.01729122,-0.01203286,-0.03213864,-0.01895892,-0.06302656,0.01528645,-0.002133795,-0.1603503,-0.07108276,-0.01468204,-0.02111227,0.06903963,-0.003204867,Cedro
20.23458,46.6096,35.74578,27.06472,16.15214,38.4374,35.531,29.97744,36.20044,20.57872,93.55504,59.71008,20.47454,70.10072,67.51868,16.60204,16.77834,40.47972,34.09824,25.96432,16.13348,36.48002,34.40222,29.31616,39.63576,20.83608,98.4644,59.23856,22.16332,71.98594,89.85688,17.41934,20.522,47.772,35.919,27.068,16.375,38.995,36.074,30.474,39.951,21.339,99.812,61.359,22.227,73.934,92.145,17.582,16.409,40.135,33.948,25.742,15.891,36.178,32.935,27.338,36.598,20.751,92.915,58.956,20.296,70.472,70,16.824,-0.9955922,-1.000579,-0.9928529,-0.9916636,-0.942903,-0.9924071,-0.9968895,-0.9962127,-0.9622491,-0.995301,-0.9690112,-0.9618784,-0.9870096,-0.8797872,-0.9732581,-0.967852,-0.02231805,-0.02080107,-0.01232389,-0.00875805,0.003144948,-0.01508823,-0.01122435,-0.009478738,0.1253288,0.002303303,0.1584115,0.01334934,0.02137075,0.2987239,0.6091889,0.02892286,Cedro
20.90266,48.86786,35.96596,27.17696,16.25516,38.70062,35.76268,30.55072,37.47802,20.82492,94.5222,60.19246,20.90366,71.16762,71.01378,17.1152,19.69564,45.5948,35.0184,26.60516,16.5044,37.6113,34.36108,29.44888,40.12836,20.92462,96.7968,60.7482,22.61902,73.3288,93.51984,17.8291,20.96,49.622,36.126,27.203,16.649,38.995,36.178,30.797,41.136,21.339,100.108,61.986,22.69,74.979,95.026,17.959,19.05,45.351,34.619,26.474,16.189,37.243,33.574,29.234,37.85,20.682,94.49,60.257,20.728,71.431,73.252,17.288,-1.004563,-0.9944782,-0.949703,-0.9625269,-0.9499274,-0.9693239,-0.9862573,-0.9650376,-0.9535864,-0.9945603,-0.9811901,-0.8557896,-0.9896538,-0.8343215,-0.9785382,-0.9527217,-0.003220027,-0.02309765,-0.03649486,-0.01384211,0.01120619,-0.02304757,-0.01775073,-0.02701272,0.1213108,0.0007692472,0.06059931,0.1306719,0.01761737,0.3981378,0.4926814,0.03489186,Cedro
